Agegroup,Vitamin Eα-TE,Vitamin Kµg,Pan­tothenic acidmg,Biotinµg,Vitamin B12µg,Cholinemg
≤6 mo,3,,1.6,3,0.3,96
7-11 mo,4,5,2.2,4,1.1,134
CHILDREN
1-3 y,6,10,3.2,16,1.2,119
4-6 y,7,15,3.2,20,1.4,139
7-10 y,7,25,3.2,20,2,199
FEMALES
11-14 y,8,35,4,28,2.8,276
15-17 y,9,45,4,28,3.1,310
18-24 y,8,50,4,32,3.2,320
25-50 y,8,50,4,32,3.2,320
51-70 y,8,50,4,32,3.2,320
>70 y,8,50,4,32,3.2,320
Pregnant,9,60,4,32,3.6,381
Lactating,10,50,5.6,35,4.2,416
MALES
11-14 y,9,40,4,28,2.6,259
15-17 y,10,50,4,28,3.2,318
18-24 y,9,60,4,32,3.2,320
25-50 y,9,60,4,32,3.2,320
51-70 y,9,60,4,32,3.2,320
>70 y,9,55,4,32,3.2,320
